day,power_output
2020-01-01,230519.8
2020-01-02,459797.5
2020-01-03,384775.6
2020-01-04,1000155.6
2020-01-05,95877.6
2020-01-06,70894.2
2020-01-07,158179.0
2020-01-08,463138.3
2020-01-09,52105.7
2020-01-10,21819.7
2020-01-11,60891.9
2020-01-12,54221.8
2020-01-13,75554.3
2020-01-14,35190.8
2020-01-15,9243.1
2020-01-16,10932.7
2020-01-17,4473.4
2020-01-18,3692.2000000000003
2020-01-19,1272.8
2020-01-20,3026.4
2020-01-21,13176.6
2020-01-22,12925.9
2020-01-23,24123.8
2020-01-24,10452.1
2020-01-25,10823.3
2020-01-26,54789.5
2020-01-27,20541.7
2020-01-28,80258.4
2020-01-29,32519.5
2020-01-30,77060.3
2020-01-31,196472.6
2020-02-01,324972.5
2020-02-02,12982.1
2020-02-03,56461.0
2020-02-04,38196.0
2020-02-05,14158.4
2020-02-06,1465.2
2020-02-07,62568.4
2020-02-08,86664.2
2020-02-09,20230.7
2020-02-10,15036.3
2020-02-11,851.1999999999999
2020-02-12,5576.6
2020-02-13,2875.6
2020-02-14,3554.4
2020-02-15,615.7
2020-02-16,4212.5
2020-02-17,3836.3
2020-02-18,3060.5
2020-02-19,863.8
2020-02-20,1735.0
2020-02-21,1066.4
2020-02-22,445.9
2020-02-23,62.6
2020-02-24,21.5
2020-02-25,32.7
2020-02-26,46.5
2020-02-27,1106.6
2020-02-28,791.7
2020-02-29,1437.6000000000001
2020-03-01,569.3
2020-03-02,368.4
2020-03-03,1601.0
2020-03-04,7023.7
2020-03-05,666.7
2020-03-07,523.0999999999999
2020-03-08,355.5
2020-03-09,1459.6
2020-03-10,1915.0
2020-03-11,4139.7
2020-03-12,2494.2
2020-03-13,511.1
2020-03-14,1431.1
2020-03-15,4510.0
2020-03-16,6949.0
2020-03-17,6183.0
2020-03-18,2209.4
2020-03-19,3578.5
2020-03-20,2217.4
2020-03-21,3022.9
2020-03-22,1371.6
2020-03-23,4018.5
2020-03-24,2877.4
2020-03-25,4464.0
2020-03-26,15653.0
2020-03-27,6331.2
2020-03-28,3118.5
2020-03-29,1537.1
2020-03-30,3271.1
2020-03-31,7415.0
2020-04-01,3456.5
2020-04-02,2081.4
2020-04-03,2578.4
2020-04-04,3565.8
2020-04-05,2080.0
2020-04-06,3904.9
2020-04-07,1222.5
2020-04-08,3199.2
2020-04-09,6630.5
2020-04-10,2847.1
2020-04-11,1286.9
2020-04-12,923.1
2020-04-13,2331.4
2020-04-14,4370.2
2020-04-15,6160.1
2020-04-16,3921.0
2020-04-17,7858.8
2020-04-18,2223.7
2020-04-19,1287.9
