SA3_CODE21,fire_count,area_km2,fire_density
10102,409.0,6523.853360123531,62.7
10103,1830.0,14258.952041426495,128.3
10104,3101.0,9874.880668626956,314.0
10105,246.0,9122.464031540923,27.0
10106,372.0,12127.924076065668,30.7
10201,,990.1981740936752,
10202,3.0,697.77533187656,4.3
10301,192.0,6991.637467052925,27.5
10302,1840.0,40996.3122168968,44.9
10303,634.0,16054.910901521864,39.5
10304,90.0,6284.99374988316,14.3
10401,279.0,9308.24727076215,30.0
10402,130.0,3959.864452039893,32.8
10501,2637.0,162746.91883061855,16.2
10502,101.0,146756.1764216547,0.7
10503,696.0,29702.322284576272,23.4
10601,224.0,8589.535231845643,26.1
10602,,374.9267643528694,
10603,14.0,1085.1240755326558,12.9
10604,254.0,11443.097837978392,22.2
10701,78.0,162.12831779550882,481.1
10702,16.0,748.5136013535292,21.4
10703,,399.7368263698585,
10704,1.0,246.8169882636336,4.1
10801,38.0,3163.4734169219737,12.0
10802,222.0,5361.968796868562,41.4
10803,,12.11568854242944,
10804,76.0,3696.650669584883,20.6
10805,156.0,6665.945272515608,23.4
10901,560.0,5584.8393668559,100.3
10902,433.0,63995.45040075887,6.8
10903,1315.0,28219.683367822392,46.6
11001,321.0,16420.269857844007,19.5
11002,1296.0,30550.976988659997,42.4
11003,1244.0,32038.663260506004,38.8
11004,278.0,20168.31578721742,13.8
11101,,131.37318786433792,
11102,8.0,499.25845210502416,16.0
11103,,224.1431582901182,
11201,20.0,1599.7576729825705,12.5
11202,87.0,7388.716881168733,11.8
11203,10.0,1285.4644622766302,7.8
11301,915.0,28851.704156329484,31.7
11302,1722.0,9187.05771722498,187.4
11303,1561.0,18982.42063219377,82.2
11401,321.0,4386.9941599027525,73.2
11402,288.0,2355.6036264969903,122.3
11501,,72.53356493702545,
11502,15.0,577.3930519868723,26.0
11503,9.0,2463.4302195087425,3.7
11504,1.0,112.5036131904655,8.9
11601,,51.33117774095113,
11602,1.0,106.56325479829444,9.4
11603,,86.73198624932853,
11701,,21.80826802907949,
11702,,13.469226218305408,
11703,,25.911285008725105,
11801,,20.815143473601434,
11802,,35.0143188210213,
11901,,73.11902553757344,
11902,,30.711283938073272,
11903,,30.94640864524876,
11904,,32.270219705389664,
12001,,17.913868891587217,
12002,,8.999180720696902,
12003,,35.91927523739374,
12101,,34.640151080859134,
12102,,140.30334868343644,
12103,1.0,84.88188602682817,11.8
12104,,15.927859210541843,
12201,,12.64945889098566,
12202,1.0,86.67496074916825,11.5
12203,7.0,146.39642908420902,47.8
12301,,73.50104584938438,
12302,12.0,331.50551163454907,36.2
12303,2.0,853.870921900566,2.3
12401,4.0,938.966116532418,4.3
12402,153.0,2434.883816575992,62.8
12403,4.0,365.296556740849,11.0
12404,,174.74051138039565,
12405,,25.0920512556716,
12501,,30.760339502900948,
12502,,25.26821808142263,
12503,,56.7265671630413,
12504,,50.191021076099815,
12601,,20.987194204247945,
12602,,44.829518230709006,
12701,2.0,299.64822501076145,6.7
12702,,124.58928063673407,
12703,4.0,114.94903782793028,34.8
12801,,56.04810332631687,
12802,6.0,249.40449287431517,24.1
19797,,,
19999,,,
20101,3.0,443.2353435495054,6.8
20102,92.0,3656.229855856778,25.2
20103,528.0,6154.778092026737,85.8
