latitude,longitude,brightness,frp,acq_date,year_month
-13.2051,143.1472,337.2,27.9,2020-01-01,2020-01
-14.4737,143.5811,351.4,55.8,2020-01-01,2020-01
-14.7204,143.7693,343.0,35.5,2020-01-01,2020-01
-16.0042,145.1185,331.8,28.2,2020-01-01,2020-01
-16.6401,145.1484,344.3,48.2,2020-01-01,2020-01
-16.3574,137.685,336.9,43.6,2020-01-01,2020-01
-19.4144,143.3588,352.7,61.1,2020-01-01,2020-01
-19.625,144.545,339.8,31.4,2020-01-01,2020-01
-19.6266,144.5569,350.2,59.0,2020-01-01,2020-01
-17.8497,143.3354,339.9,28.0,2020-01-01,2020-01
-18.1168,144.2241,337.8,29.2,2020-01-01,2020-01
-19.9101,144.5462,345.3,46.2,2020-01-01,2020-01
-18.4051,145.3298,335.6,35.3,2020-01-01,2020-01
-18.4138,145.3158,343.6,54.2,2020-01-01,2020-01
-18.4115,145.3225,334.8,33.2,2020-01-01,2020-01
-18.4202,145.3083,346.6,61.7,2020-01-01,2020-01
-18.4218,145.3212,340.9,47.0,2020-01-01,2020-01
-19.2159,146.1267,336.3,38.1,2020-01-01,2020-01
-21.3674,140.6924,363.8,71.8,2020-01-01,2020-01
-21.3688,140.702,371.4,97.3,2020-01-01,2020-01
-21.3764,140.6909,347.6,33.2,2020-01-01,2020-01
-21.4172,140.8414,352.2,38.6,2020-01-01,2020-01
-20.9929,135.2692,344.9,80.5,2020-01-01,2020-01
-25.0547,128.9455,336.5,184.7,2020-01-01,2020-01
-25.0469,128.8962,335.8,181.1,2020-01-01,2020-01
-25.0568,128.9389,339.9,232.0,2020-01-01,2020-01
-28.1125,129.6762,344.6,188.2,2020-01-01,2020-01
-28.1194,129.7079,361.9,396.1,2020-01-01,2020-01
-28.1161,129.7015,354.1,289.0,2020-01-01,2020-01
-28.1309,129.6971,341.2,153.7,2020-01-01,2020-01
-28.4467,129.4451,336.4,120.3,2020-01-01,2020-01
-28.4528,128.4741,347.9,298.9,2020-01-01,2020-01
-28.4583,128.465,338.1,178.1,2020-01-01,2020-01
-29.0362,128.2522,341.4,209.0,2020-01-01,2020-01
-29.0607,128.285,338.9,175.3,2020-01-01,2020-01
-35.7595,141.3384,347.4,65.5,2020-01-01,2020-01
-35.7681,141.3223,351.3,75.0,2020-01-01,2020-01
-35.7698,141.3367,411.8,468.4,2020-01-01,2020-01
-35.7192,136.785,359.0,75.5,2020-01-01,2020-01
-35.7209,136.7961,351.5,59.5,2020-01-01,2020-01
-35.7226,136.8072,369.7,110.1,2020-01-01,2020-01
-35.7266,136.7719,362.6,84.3,2020-01-01,2020-01
-35.7299,136.7941,348.8,51.5,2020-01-01,2020-01
-35.7316,136.8052,400.6,251.2,2020-01-01,2020-01
-35.7333,136.8163,335.7,30.8,2020-01-01,2020-01
-35.7339,136.7588,369.3,104.7,2020-01-01,2020-01
-35.739,136.7921,389.4,186.6,2020-01-01,2020-01
-35.7406,136.8032,379.8,144.2,2020-01-01,2020-01
-35.7412,136.7457,356.2,65.8,2020-01-01,2020-01
-35.7463,136.779,359.5,73.3,2020-01-01,2020-01
-35.748,136.7901,399.9,242.5,2020-01-01,2020-01
-35.7497,136.8011,395.4,218.7,2020-01-01,2020-01
-35.7503,136.7437,344.9,41.3,2020-01-01,2020-01
-35.757,136.7881,392.4,198.9,2020-01-01,2020-01
-35.7587,136.7991,382.1,152.5,2020-01-01,2020-01
-35.7576,136.7306,335.3,27.7,2020-01-01,2020-01
-35.7666,136.7286,339.0,32.8,2020-01-01,2020-01
-35.8091,136.7699,340.0,27.8,2020-01-01,2020-01
-35.8141,136.8032,363.7,87.7,2020-01-01,2020-01
-35.8237,136.7437,377.0,125.2,2020-01-01,2020-01
-35.8254,136.7548,403.7,262.8,2020-01-01,2020-01
-35.8311,136.7305,379.1,136.7,2020-01-01,2020-01
-35.8367,136.7063,352.8,60.1,2020-01-01,2020-01
-35.8384,136.7174,352.6,58.8,2020-01-01,2020-01
-35.8401,136.7285,391.3,196.2,2020-01-01,2020-01
-41.5621,147.931,387.2,1205.4,2020-01-01,2020-01
-41.5642,147.9801,358.0,515.3,2020-01-01,2020-01
-41.5787,147.9309,342.6,275.5,2020-01-01,2020-01
-41.5512,147.9241,352.8,436.1,2020-01-01,2020-01
-41.5678,147.9235,362.4,584.4,2020-01-01,2020-01
-41.5696,147.9728,354.4,450.8,2020-01-01,2020-01
-41.6723,148.0494,335.7,230.6,2020-01-01,2020-01
-41.6776,148.0445,337.0,250.9,2020-01-01,2020-01
-22.4676,117.7309,345.1,38.3,2020-01-01,2020-01
-31.8296,121.5229,346.0,129.6,2020-01-01,2020-01
-31.8317,121.5478,346.5,133.9,2020-01-01,2020-01
-31.8451,121.5464,378.7,454.3,2020-01-01,2020-01
-31.8471,121.5712,382.1,505.2,2020-01-01,2020-01
-31.8606,121.5699,344.9,130.3,2020-01-01,2020-01
-31.8626,121.5947,378.1,453.6,2020-01-01,2020-01
-31.8761,121.5933,357.6,226.8,2020-01-01,2020-01
-31.8782,121.6184,355.7,209.7,2020-01-01,2020-01
-31.8917,121.6169,335.9,81.2,2020-01-01,2020-01
-31.9831,121.4745,351.1,151.2,2020-01-01,2020-01
-31.9852,121.499,372.3,356.7,2020-01-01,2020-01
-31.9874,121.524,335.7,62.0,2020-01-01,2020-01
-31.9785,121.4695,346.9,122.1,2020-01-01,2020-01
-31.9804,121.494,363.6,261.0,2020-01-01,2020-01
-31.9824,121.519,345.2,114.4,2020-01-01,2020-01
-32.2713,123.437,354.2,304.4,2020-01-01,2020-01
-32.2736,123.4711,361.3,400.5,2020-01-01,2020-01
-32.289,123.47,354.7,303.9,2020-01-01,2020-01
-32.2914,123.5042,382.3,796.3,2020-01-01,2020-01
-32.3068,123.5031,355.7,320.8,2020-01-01,2020-01
-32.3092,123.5376,363.9,445.4,2020-01-01,2020-01
-32.315,123.3996,357.3,321.3,2020-01-01,2020-01
-32.3174,123.4335,357.2,329.6,2020-01-01,2020-01
-32.3352,123.4664,346.6,210.7,2020-01-01,2020-01
-32.3376,123.5007,335.7,114.1,2020-01-01,2020-01
-32.303,123.498,355.2,321.2,2020-01-01,2020-01
-32.3052,123.5325,365.9,485.9,2020-01-01,2020-01
-32.3118,123.3943,347.7,203.6,2020-01-01,2020-01
-32.314,123.4282,363.2,412.6,2020-01-01,2020-01
-32.3316,123.4612,337.4,126.6,2020-01-01,2020-01
-32.3338,123.4955,337.0,128.0,2020-01-01,2020-01
-32.4971,123.4403,336.5,117.4,2020-01-01,2020-01
-32.3944,121.3249,350.1,151.8,2020-01-01,2020-01
-32.4893,121.9655,363.8,299.4,2020-01-01,2020-01
-32.4943,121.9581,360.3,256.7,2020-01-01,2020-01
-32.5479,122.2893,361.0,314.8,2020-01-01,2020-01
-32.5382,121.9807,384.2,606.7,2020-01-01,2020-01
-32.5403,122.0078,372.8,433.5,2020-01-01,2020-01
-32.5621,122.2879,376.5,525.2,2020-01-01,2020-01
